名称,类别,出现回目,季节判断,时令说明,菜品背景,主要食材,成品特点,文学隐喻,备注
酸笋鸡皮汤,汤羹,第八回,春季,酸笋春季腌制，汤品四季可食,宝玉探望宝钗时在薛姨妈处饮用,"酸笋；鸡皮；姜片；葱段；料酒","汤色清亮微黄；酸味温和；鸡皮软糯","薛姨妈借汤招待宝玉，体现慈爱",
茄鲞,菜肴,第四十一回,夏秋季,茄子为夏秋季时令蔬菜,刘姥姥二进荣国府时贾母设宴款待,"茄子；鸡胸肉；香菌；新笋；蘑菇；豆腐干；各色干果子；鸡汤；香油；糟油","颜色丰富；口感复杂；咸香中带糟香","刘姥姥感叹“倒得多少只鸡配他”",
糟鹅掌,菜肴,第八回,冬季,糟货四季可食，冬日佐酒尤佳,宝玉在薛姨妈处饮酒时品尝,"鹅掌；糟卤；黄酒；盐；香料","色泽淡黄；口感筋道；糟香浓郁","薛姨妈取自家糟的鹅掌给宝玉尝",
糟鹅掌鸭信,菜肴,第八回,冬季,糟货四季可食，冬日佐酒尤佳,宝玉在薛姨妈处饮酒时品尝,"鹅掌；鸭信；糟卤","色泽淡黄；口感筋道；糟香浓郁","薛姨妈取自家糟的给宝玉尝",
火腿炖肘子,菜肴,第十六回,冬季,炖菜宜冬季暖身,贾琏乳母赵嬷嬷来访时凤姐提及,"猪肘子；火腿；姜；葱；料酒；盐","肉质酥烂脱骨；汤汁浓白醇厚","凤姐命人给赵嬷嬷吃，体现孝敬",
胭脂鹅脯,菜肴,第六十二回,四季,腌腊制品四季可食,芳官给宝玉送来的饭食之一,"鹅脯肉；红曲米；盐；花椒；料酒","色泽红润如胭脂；肉质紧实咸香","芳官给宝玉送饭，显示怡红院饮食精致",
酒酿清蒸鸭子,菜肴,第六十二回,四季,清蒸鸭子四季皆可,芳官给宝玉送来的饭食之一,"鸭子；酒酿；姜片；葱段；盐；料酒","鸭肉酥烂；汤汁清甜；酒酿香渗透","宝玉尝后觉得“比往常之味又胜些”",
烤鹿肉,菜肴,第四十九回,冬季,冬日围炉烧烤，季节特征明显,大观园赏雪时湘云宝玉在芦雪庭烤鹿肉,"鹿肉；盐；孜然；辣椒粉；酱油；料酒","外皮焦香；内部鲜嫩多汁；野味浓郁","湘云说“我吃这个方爱吃酒，吃了酒才有诗”",
牛乳蒸羊羔,菜肴,第四十九回,冬季,冬季温补佳品，贾母专属养生菜,贾母在大观园赏雪时的餐桌菜品,"羊羔肉；鲜牛乳；姜片；盐；枸杞；料酒","肉质极嫩；汤汁乳白；奶香与肉香融合","贾母说“这是我们有年纪人的药”",
鸡髓笋,菜肴,第七十五回,春季,春笋为春季时令食材,贾政送给贾母的孝敬菜品,"竹笋；鸡骨髓；高汤；盐；姜汁；料酒；淀粉","笋嫩如白玉；骨髓滑润；汤汁清鲜","贾政在外任不忘孝敬母亲",
