名称,类别,出现回目,季节判断,时令说明,烹饪方式,制作工具,口味特征,食材分类,主要食材,辅料,成品特点,适用人群,食用场景,关联人物,关联事件,稀有程度,食材可得性,保鲜期(小时),清洗难度,去皮难度,去骨去壳难度,刀工精度,腌制时长(小时),泡发时长(小时),焯水过油,工序步骤数,技法种类,火候要求,主动工时(分钟),总耗时(分钟),设备依赖度,能源消耗,最佳赏味窗口(分钟),可保存时长(天),摆盘难度,进食难度,食用耗时(分钟),饱腹感,搭配需求,营养均衡度,健康等级,文化象征礼仪等级,文学权重,文学隐喻
酸笋鸡皮汤,汤羹,第八回,春季,酸笋春季腌制，汤品四季可食,炖煮,砂锅,酸鲜,蔬菜/禽肉,酸笋/鸡皮,姜片/葱段/料酒,汤色清亮微黄；酸味温和；鸡皮软糯,通用,日常,贾宝玉/薛姨妈,宝玉探望宝钗时饮用,常见,★★,48,★,★★,★,★,24,0,焯水,4,2,文火,20,60,★★,★,30,2,★,★,10,★,★,★★★,低脂,日常,★★,薛姨妈借汤招待宝玉，体现慈爱
茄鲞,菜肴,第四十一回,夏秋季,茄子为夏秋季时令蔬菜,炸/煨/拌,铁锅/磁罐,咸鲜/糟香,蔬菜/禽肉,茄子/鸡胸肉,香菌/新笋/蘑菇/豆腐干/各色干果子/鸡汤/香油/糟油,颜色丰富；口感复杂；咸香中带糟香,通用,宴席,贾母/刘姥姥/王熙凤,刘姥姥二进荣国府,特制,★★★,48,★★,★★,★,★★★★,0,0,炸,8,5,中火,120,240,★★★★,★★★,60,30,★★★,★,15,★★★,★★★,★★★,中脂,宴席,★★★★★,刘姥姥感叹“倒得多少只鸡配他”
糟鹅掌,菜肴,第八回,冬季,糟货四季可食，冬日佐酒尤佳,糟制,瓦罐,糟香,禽肉,鹅掌,糟卤/黄酒/盐/香料,色泽淡黄；口感筋道；糟香浓郁,通用,佐酒,贾宝玉/薛姨妈,宝玉在薛姨妈处饮酒时品尝,常见,★★★,720,★★,★,★★★,★,24,0,焯水,3,2,文火,15,720,★★,★,720,30,★,★★★,30,★,★★,★★,低脂,日常,★★★,薛姨妈取自家糟的鹅掌给宝玉尝
糟鹅掌鸭信,菜肴,第八回,冬季,糟货四季可食，冬日佐酒尤佳,糟制,瓦罐,糟香,禽肉,鹅掌/鸭信,糟卤,色泽淡黄；口感筋道；糟香浓郁,通用,佐酒,贾宝玉/薛姨妈,宝玉在薛姨妈处饮酒时品尝,常见,★★★,720,★★,★,★★★,★,24,0,焯水,3,2,文火,20,720,★★,★,720,30,★,★★★,30,★,★★,★★,低脂,日常,★★★,与糟鹅掌同批，为糟货精品
火腿炖肘子,菜肴,第十六回,冬季,炖菜宜冬季暖身,炖煮,砂锅,咸鲜,畜肉,猪肘子/火腿,姜/葱/料酒/盐,肉质酥烂脱骨；汤汁浓白醇厚,老人,日常,王熙凤/赵嬷嬷,贾琏乳母赵嬷嬷来访时凤姐提及,常见,★★,24,★★,★★,★★★,★,0,0,焯水,5,2,文火,30,180,★★★,★★★,60,3,★,★★,20,★★★,★★,★★★,中脂,日常,★★★,凤姐命人给赵嬷嬷吃，体现孝敬
胭脂鹅脯,菜肴,第六十二回,四季,腌腊制品四季可食,腌制/蒸,蒸笼,咸鲜,禽肉,鹅脯肉,红曲米/盐/花椒/料酒,色泽红润如胭脂；肉质紧实咸香,通用,日常,贾宝玉/芳官,芳官给宝玉送饭,常见,★★,720,★★,★,★,★★,48,0,无,4,2,文火,20,120,★★,★,30,30,★,★★,15,★★,★★,★★★,中脂,日常,★★★,芳官给宝玉送饭，显示怡红院饮食精致
酒酿清蒸鸭子,菜肴,第六十二回,四季,清蒸鸭子四季皆可,清蒸,蒸笼,咸鲜/酒香,禽肉,鸭子,酒酿/姜片/葱段/盐/料酒,鸭肉酥烂；汤汁清甜；酒酿香渗透,通用,日常,贾宝玉/芳官,芳官给宝玉送饭,常见,★★,48,★★,★,★★★,★,2,0,无,4,2,中火,25,90,★★★,★★,30,2,★,★★★,20,★★★,★★,★★★★,中脂,日常,★★★,宝玉尝后觉得“比往常之味又胜些”
烤鹿肉,菜肴,第四十九回,冬季,冬日围炉烧烤，季节特征明显,烤制,铁叉/铁丝网/炭炉,咸鲜/烟熏,畜肉,鹿肉,盐/孜然/辣椒粉/酱油/料酒,外皮焦香；内部鲜嫩多汁；野味浓郁,通用,户外聚餐,贾宝玉/史湘云/大观园群芳,芦雪庭烤鹿肉,罕见,★★★★,24,★★,★,★,★★,2,0,无,4,2,猛火,20,40,★★★★,★★★★,20,2,★★,★★★,15,★★★★,★,★★★,中脂,户外宴席,★★★★★,湘云说“我吃这个方爱吃酒，吃了酒才有诗”
牛乳蒸羊羔,菜肴,第四十九回,冬季,冬季温补佳品，贾母专属养生菜,清蒸,蒸笼/炖盅,奶香/咸鲜,畜肉/乳制品,羊羔肉/鲜牛乳,姜片/盐/枸杞/料酒,肉质极嫩；汤汁乳白；奶香与肉香融合,老人,养生,贾母,贾母在大观园赏雪时的餐桌菜品,特制,★★★★,24,★★,★,★,★,2,0,焯水,3,2,文火,15,120,★★★,★★,30,2,★★,★★,15,★★★,★,★★★★,中脂,养生,★★★,贾母说“这是我们有年纪人的药”
鸡髓笋,菜肴,第七十五回,春季,春笋为春季时令食材,蒸/煨,蒸笼/砂锅,清鲜,蔬菜/禽肉,竹笋/鸡骨髓,高汤/盐/姜汁/料酒/淀粉,笋嫩如白玉；骨髓滑润；汤汁清鲜,老人,日常,贾政/贾母,贾政送给贾母的孝敬菜品,特制,★★★,24,★★,★★,★★★★,★★★★,0,0,焯水,6,4,文火,60,120,★★★,★★,30,2,★★★,★★★,30,★★,★,★★★,中脂,日常,★★★★,贾政在外任不忘孝敬母亲
